isoform,structural_category
ONT1.1086.1877,FSM
ONT1.1086.1894,ISM
ONT1.1086.1898,FSM
ONT1.1086.1899,FSM
ONT1.1086.19,NNC
ONT1.1086.19365,FSM
ONT1.1086.19366,FSM
ONT1.1086.19369,NNC
ONT1.1086.19370,NNC
ONT1.1086.19379,NNC
ONT1.1086.19386,FSM
ONT1.1086.19390,FSM
ONT1.1086.19392,FSM
ONT1.1086.19402,FSM
ONT1.1086.19403,NNC
ONT1.1086.19428,NIC
ONT1.1086.19467,NNC
ONT1.1086.1949,FSM
ONT1.1086.21164,ISM
ONT1.1086.21167,NNC
ONT1.1086.21510,NNC
ONT1.1086.21795,ISM
ONT1.1086.21865,NNC
ONT1.1086.21929,ISM
ONT1.1086.21981,ISM
ONT1.1086.22,NIC
ONT1.1086.22029,ISM
ONT1.1086.22082,ISM
ONT1.1086.22096,ISM
ONT1.1086.22124,ISM
ONT1.1086.23,NNC
ONT1.1086.23883,FSM
ONT1.1086.23884,FSM
ONT1.1086.23886,FSM
ONT1.1086.23993,ISM
ONT1.1086.23994,ISM
ONT1.1086.23996,ISM
ONT1.1086.24007,ISM
ONT1.1086.24161,ISM
ONT1.1086.24165,ISM
ONT1.1086.24166,ISM
ONT1.1086.24169,ISM
ONT1.1086.24173,ISM
ONT1.1086.24174,ISM
ONT1.1086.24179,ISM
ONT1.1086.24183,ISM
ONT1.1086.24184,ISM
ONT1.1086.24188,ISM
ONT1.1086.24191,ISM
ONT1.1086.24193,ISM
ONT1.1086.24198,ISM
ONT1.1086.25034,NIC
ONT1.1086.25042,FSM
ONT1.1086.25047,FSM
ONT1.1086.25048,ISM
ONT1.1086.25060,NIC
ONT1.1086.25064,ISM
ONT1.1086.25065,NIC
ONT1.1086.25066,ISM
ONT1.1086.25078,NIC
ONT1.1086.25104,FSM
ONT1.1086.25273,NIC
ONT1.1086.25278,NIC
ONT1.1086.25511,ISM
ONT1.1086.25512,ISM
ONT1.1086.26262,FSM
ONT1.1086.26264,FSM
ONT1.1086.26293,FSM
ONT1.1086.26428,FSM
ONT1.1086.26442,FSM
ONT1.1086.26443,FSM
ONT1.1086.26684,NIC
ONT1.1086.26731,NIC
ONT1.1086.26733,NNC
ONT1.1086.26762,FSM
ONT1.1086.26763,FSM
ONT1.1086.26769,ISM
ONT1.1086.26778,FSM
ONT1.1086.26781,NNC
ONT1.1086.26787,ISM
ONT1.1086.26853,NNC
ONT1.1086.27190,NNC
ONT1.1086.27211,ISM
ONT1.1086.27212,NNC
ONT1.1086.27353,ISM
ONT1.1086.27356,ISM
ONT1.1086.27402,NNC
ONT1.1086.27408,ISM
ONT1.1086.27437,ISM
ONT1.1086.27449,ISM
ONT1.1086.27455,ISM
ONT1.1086.27465,ISM
ONT1.1086.2753,FSM
ONT1.1086.28774,NNC
ONT1.1086.28775,NNC
ONT1.1086.28776,NNC
ONT1.1086.28781,NNC
ONT1.1086.28782,NNC
ONT1.1086.28783,NNC
ONT1.1086.28785,NIC
ONT1.1086.28788,NNC
ONT1.1086.28789,FSM
ONT1.1086.28791,NNC
ONT1.1086.28792,NIC
ONT1.1086.28793,NNC
ONT1.1086.28809,FSM
ONT1.1086.28819,NNC
ONT1.1086.28837,NIC
ONT1.1086.29426,ISM
ONT1.1086.29472,ISM
ONT1.1086.29491,ISM
ONT1.1086.29725,ISM
ONT1.1086.29731,ISM
ONT1.1086.30659,NIC
ONT1.1086.30665,FSM
ONT1.1086.30670,NIC
ONT1.1086.30674,FSM
ONT1.1086.30935,ISM
ONT1.1086.30936,ISM
ONT1.1086.30948,ISM
ONT1.1086.30956,ISM
ONT1.1086.30964,ISM
ONT1.1086.30975,ISM
ONT1.1086.30983,ISM
ONT1.1086.30984,ISM
ONT1.1086.31,NIC
ONT1.1086.31024,ISM
ONT1.1086.31025,ISM
ONT1.1086.31050,ISM
ONT1.1086.31051,ISM
ONT1.1086.31107,ISM
ONT1.1086.31110,ISM
ONT1.1086.31334,ISM
ONT1.1086.31354,ISM
ONT1.1086.32341,FSM
ONT1.1086.32347,NIC
ONT1.1086.32349,NIC
ONT1.1086.32359,FSM
ONT1.1086.32360,NIC
ONT1.1086.32361,NNC
ONT1.1086.32367,NIC
ONT1.1086.32372,NIC
ONT1.1086.32373,NIC
ONT1.1086.32377,FSM
ONT1.1086.32418,NNC
ONT1.1086.32420,ISM
ONT1.1086.32425,ISM
ONT1.1086.32431,NNC
ONT1.1086.32439,ISM
ONT1.1086.32511,ISM
ONT1.1086.32515,ISM
ONT1.1086.32521,NNC
ONT1.1086.32527,ISM
ONT1.1086.32554,ISM
ONT1.1086.3343,ISM
ONT1.1086.3350,ISM
ONT1.1086.3450,ISM
ONT1.1086.3451,ISM
ONT1.1086.35,NIC
ONT1.1086.35642,NNC
ONT1.1086.35643,NNC
ONT1.1086.35645,NNC
ONT1.1086.35657,FSM
ONT1.1086.35663,FSM
ONT1.1086.35721,ISM
ONT1.1086.35728,ISM
ONT1.1086.35735,NNC
ONT1.1086.3587,ISM
ONT1.1086.3803,ISM
ONT1.1086.3804,ISM
ONT1.1086.3924,ISM
ONT1.1086.3925,ISM
ONT1.1086.4105,ISM
ONT1.1086.4111,ISM
ONT1.1086.4188,ISM
ONT1.1086.4336,ISM
ONT1.1086.44,NIC
